Model,Residual_Stress,Residual_Deformation,Actual_Stress,Actual_Deformation
ANN_Baseline,4.2205244445682375,-1.2971009459791987,29.0,0.153
ANN_Baseline,-104.2844780533315,-1.0895271181923305,22.6,0.119
ANN_Baseline,-76.66108930962243,8.329538972295133,85.8,2.17
ANN_Baseline,-28.658250151198757,-19.136347076688672,78.9,19.6
ANN_Baseline,-137.51047151714474,-33.77009543334683,2.74,0.124
ANN_Baseline,67.34171010686151,17.749059324118377,343.0,8.67
ANN_Tuned,0.7806552102357536,-1.005994274011969,29.0,0.153
ANN_Tuned,-77.89603948699803,2.496032943379322,22.6,0.119
ANN_Tuned,-145.63909604996212,6.260006176146888,85.8,2.17
ANN_Tuned,-13.198301643356288,-34.39905150738317,78.9,19.6
ANN_Tuned,-175.3012254104965,-13.481667786438907,2.74,0.124
ANN_Tuned,2.4557853737161963,8.609442607626018,343.0,8.67
RandomForest,2.528800000000004,-0.1110249999999999,29.0,0.153
RandomForest,-11.129199999999962,-0.9887549999999987,22.6,0.119
RandomForest,-108.96499999999999,-29.78352000000001,85.8,2.17
RandomForest,26.49360000000005,1.0968900000000126,78.9,19.6
RandomForest,-99.07640000000002,-38.19886000000002,2.74,0.124
RandomForest,147.282,3.2077800000000023,343.0,8.67
